X,Y,OBJECTID,GIS_ID,GIS_FeatureKey,CulturalResourceCategory,NAICSCde,NAICSDef,Description,Organization,Location,URL,AssociatedHistoricFigures,AssociatedPublications,Buildings,Bridges,Cemeteries,CivicPublic,Forts,HistoricFigures,HeritageDistricts,HeritagePlaques,Military,Monuments,ReligiousRitual,Streets,Municipal,Provincial,Federal,LastEditDate
477357.3348,4758662.6051,122,11,Beaverbrooke Avenue,Cultural Heritage,712120,Historic and Heritage Sites,"West. Runs north/south between Riverside Drive and Oxford Street West, and east/west between Capulet Lane and Proudfoot Lane.
Max Aitken was born in Maple, northwest of Toronto, on May 25, 1879. When he was 10 months old, his father, a Presbyterian minist",London Heritage Council,Beaverbrooke Avenue,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
478607.4388,4758451.9985,123,12,Becher Street,Cultural Heritage,712120,Historic and Heritage Sites,"Old South. Runs east/west between the Thames River and Wharncliffe Road.
In the 1850s, Henry Corry Rowley Becher, George Macbeth, George Horn, and Lionel Ridout had a block of land located between the tracks of the Great Western Railway (now the Canadian ",London Heritage Council,Becher Street,http://www.londonheritage.ca,Henry Conry Rowley Becher,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
481198.816,4761167.3583,124,13,Bellwood Crescent,Cultural Heritage,712120,Historic and Heritage Sites,"East. Runs north/south from Watling Street to Falaise Road.
The Bellwood Park subdivision originated in northeast London as a postwar nursery where baby carriages outnumbered cars twenty-to-one. In 1947, street after street of new low-rental homes broke a",London Heritage Council,Bellwood Crescent,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
478905.592,4761814.7894,125,14,Broughdale Avenue and Brough Street,Cultural Heritage,712120,Historic and Heritage Sites,"North. Broughdale Avenue crosses Richmond Street. Brough Street runs north/south from Huron Street to University Crescent.
Parson (later Archdeacon) Charles Crosbie Brough (1794-1873) left a lasting imprint upon the hamlet of Broughdale. His former rector",London Heritage Council,Broughdale Avenue and Brough Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
482483.5364,4759347.2139,126,15,Brydges Street,Cultural Heritage,712120,Historic and Heritage Sites,"Southeast. Runs east/west between Egerton Street and Wavell Street.
The Great Western Railway, built with British capital, reached London from Hamilton in 1853, and was extended to Windsor the following year. It amalgamated with the Grand Trunk Railway in",London Heritage Council,Brydges Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
480805.5894,4758717.5881,127,16,Burwell Street,Cultural Heritage,712120,Historic and Heritage Sites,"Central. Runs north/south from Simcoe Street to Dundas Street.
Together with Lt.-Governor Simcoe and Colonel Talbot, Mahlon Burwell was one of London�s three founders. He surveyed the site of the city, served in the local government and was a member of th",London Heritage Council,Burwell Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
479641.5068,4757964.6391,128,17,Carfrae Street and Crescent,Cultural Heritage,712120,Historic and Heritage Sites,"Old South. Carfrae Crescent runs north from Grand Avenue to the Thames River; Carfrae Street runs west from Carfrae Crescent to Ridout Street. 
In the mid-nineteenth century, Carfrae Street was the road Robert Carfrae took to reach his property, a site ov",London Heritage Council,Carfrae Street and Crescent,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
479440.8774,4759040.2642,129,18,Carling Street,Cultural Heritage,712120,Historic and Heritage Sites,"Central. Runs east/west from Richmond Street to Talbot Street.
The surname Carling, for many, is synonymous with beer. The Carling Brewery, first located at Waterloo and Pall Mall, was established in 1843 by Thomas Carling. Two sons, William and John, joi",London Heritage Council,Carling Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
481975.5618,4758383.4263,130,19,Carson Lane,Cultural Heritage,712120,Historic and Heritage Sites,"Central. Runs north/south between Nelson Street and Trafalgar Street.
In October 1904, at the age of 58, William John Carson died while chatting with his physician. Carson was an exemplary educator, and in 1881 was the highest paid teacher in London at $9",London Heritage Council,Carson Lane,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
480876.8902,4760285.3351,131,20,Central Avenue,Cultural Heritage,712120,Historic and Heritage Sites,"Central. Runs east/west from Ontario Street to the Thames River.
Central Avenue is closely identified with the British garrison whose lands it once bisected as Great Market Street. In 1861, the area north of Central became the site of the Provincial Exhib",London Heritage Council,Central Avenue,http://www.londonheritage.ca,Charles Henry Ivey,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
477552.1016,4764848.5305,132,21,Chambers Avenue,Cultural Heritage,712120,Historic and Heritage Sites,"North. Runs east/west from Nanette Drive to Sandybrook Drive. 
Chambers Avenue makes a long, easy curve from east to west as it rises to the top of Hastings Drive, where the Jack Chambers School is situated. The school was named to honour the late, renown",London Heritage Council,Chambers Avenue,http://www.londonheritage.ca,Jack Chambers,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
475546.01,4760142.4446,133,22,Chapman Court,Cultural Heritage,712120,Historic and Heritage Sites,"Northwest. Runs south from Sarnia Road, west of Wonderland Road.
Chapman Court is a product of the city�s program to name streets in honour of servicemen and women, firefighters, and police officers who died in the line of duty. Born in London on March 28",London Heritage Council,Chapman Court,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
474109.4635,4753821.2055,134,23,Colonel Talbot Road,Cultural Heritage,712120,Historic and Heritage Sites,"West. Runs north/south between Byron Baseline Road and the Talbot Line (Highway 3) in Elgin County, where it becomes Sunset Road.
Named for Colonel Thomas Talbot (1771-1853), the eccentric, energetic founder of the Talbot Settlement, Colonel Talbot Road i",London Heritage Council,Colonel Talbot Road,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
476292.2734,4755762.2958,135,24,Commissioners Road,Cultural Heritage,712120,Historic and Heritage Sites,"South. Runs east/west across South London from Hamilton Road 
to Kilworth.
When John Graves Simcoe journeyed from Niagara to Detroit in 1793, he followed part of a Native trail through the area south of the Thames River. The trail was widened and improved",London Heritage Council,Commissioners Road,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
484627.2497,4759513.0806,136,25,Cornish Street,Cultural Heritage,712120,Historic and Heritage Sites,"East. Runs north/south from Brydges Street to Stevenson Avenue.
Francis (Frank) Evans Cornish (1831-78) was both the seventh mayor of London (1861-64) and the first mayor of Winnipeg. He was born in London to Dr. William King Cornish, a man who, at variou",London Heritage Council,Cornish Street,http://www.londonheritage.ca,Francis Evan Cornish,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
479643.4345,4758886.4346,137,26,Covent Market Place,Cultural Heritage,712120,Historic and Heritage Sites,"Central. Runs from Talbot Street to King Street around the edge of 
the Market.
Covent Garden Market was named after the original Covent Garden Market in London, England, a twelfth-century kitchen garden that supplied produce to the monks of Westminster A",London Heritage Council,Covent Market Place,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
484479.2886,4759676.5754,138,27,Cronyn Crescent,Cultural Heritage,712120,Historic and Heritage Sites,"East. Runs off Cornish Street.
In November 1950, it was announced that Benjamin Cronyn (1840-1905), son of the Anglican bishop of Huron, was among eight mayors whose names would be honoured in a new residential development near Hale and Trafalgar Streets.",London Heritage Council,Cronyn Crescent,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
479927.8073,4759387.4648,139,28,Crumlin Road,Cultural Heritage,712120,Historic and Heritage Sites,"East. Runs north/south from River Road to London Airport.
Crumlin Road, the former town line for London, West Nissouri, and North Dorchester Townships, was known as Crumlin Sideroad for most of its history. The village of Crumlin was originally called Dre",London Heritage Council,Crumlin Road,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
482022.1176,4753118.495,140,29,Dearness Drive,Cultural Heritage,712120,Historic and Heritage Sites,"South. Runs north/south between Wellington Road and Southdale Road.
Wellington Road was always an important route through Westminster Township. Due to idiosyncrasies in the original surveys, there were two jogs in the road that were eventually eliminated ",London Heritage Council,Dearness Drive,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
485667.3565,4761356.3879,141,30,Dundas Street,Cultural Heritage,712120,Historic and Heritage Sites,"A major central thoroughfare running east/west through London from its eastern boundary to the forks of the Thames. 
Dundas Street predates London by more than thirty years. Governor Simcoe intended it to link a future capital of Upper Canada at London wi",London Heritage Council,Dundas Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
480943.9002,4754488.5139,142,31,Easy Street,Cultural Heritage,712120,Historic and Heritage Sites,"South. Runs north/south from Southdale Road ending north of 
Eden Street.
1945. The Second World War had ended, and soon hundreds of thousands of Canadian soldiers would be returning home. They would be greeted by a generous program of government assistan",London Heritage Council,Easy Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
484065.2426,4757256.7329,143,32,Eula White Place,Cultural Heritage,712120,Historic and Heritage Sites,"Southeast. Runs east from Deveron Crescent, east of Pond Mills Road.
Eula White, OBE, was born, lived, and died in London, Ontario (1894-1985). She was the granddaughter of George White, who came to London in 1857 and founded an implement company that mad",London Heritage Council,Eula White Place,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
479804.9611,4757521.1663,144,33,Ferguson Place,Cultural Heritage,712120,Historic and Heritage Sites,"South. Runs east/west from Ridout Street to Bellevue Avenue.
James Ferguson came to Canada in 1824 as a young man. After farming with his father, he became a road builder, securing contracts for several roads including Egremont Road from London to Sarnia.",London Heritage Council,Ferguson Place,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
477075.8862,4760555.8549,145,34,Ford Crescent,Cultural Heritage,712120,Historic and Heritage Sites,"Northwest. Runs between Neville Drive and Coombs Avenue.
Arthur Rutherford Ford (1880-1968) was best known as editor-in-chief and later editor-emeritus of The London Free Press during his sixty-year career in journalism. He founded The University of Weste",London Heritage Council,Ford Crescent,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
477297.927,4760169.6594,146,35,Fox Avenue,Cultural Heritage,712120,Historic and Heritage Sites,"Northwest. Runs north/south between Tamblyn Drive and Trott Drive. 
After being coaxed to what was then called The Western University of London, Ontario from Princeton in 1917, Classics professor Dr. W. Sherwood Fox (1878-1967) told his new employers that",London Heritage Council,Fox Avenue,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
480697.4991,4757373.0993,147,36,Frank Place,Cultural Heritage,712120,Historic and Heritage Sites,"Old South. Connects Windsor Crescent and Wellington Road.
Richard Frank, a native of Yorkshire, England, came to London to work as a joiner. In 1843, he was both councillor and pathmaster for St. Andrew�s Ward. In 1845, he purchased three hundred acres bo",London Heritage Council,Frank Place,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
479773.4988,4756811.5693,148,37,Franklin Avenue,Cultural Heritage,712120,Historic and Heritage Sites,"South. Runs east/west between Ridout Street and Wortley Road.
Four generations of Flecksers have lived on this beautiful Old South street. My grandfather, John Franklin (Frank) Fleckser, moved from Hamilton with his wife, Christina, and their four childre",London Heritage Council,Franklin Avenue,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
480419.1609,4757860.3054,149,38,Front Street,Cultural Heritage,712120,Historic and Heritage Sites,"South. Runs off Wellington Road south of Clark�s Bridge.
In 1937, nearly fifty families lived on this street. Their frame cottages had been built on low-lying land fronting the Thames River, and after spring break-up, children played on large chunks of ic",London Heritage Council,Front Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
481379.7232,4761140.2427,150,39,Gammage Street,Cultural Heritage,712120,Historic and Heritage Sites,"East. Runs north/south between Oxford Street and Victoria Street.
James Gammage (1808-91) was one of Canada�s first florists. Born in Whitney, England, he attended Oxford University and worked in the woollen industry before immigrating to London. By 1869,",London Heritage Council,Gammage Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
478880.2407,4764160.2412,151,40,Geary Avenue,Cultural Heritage,712120,Historic and Heritage Sites,"North. Runs north/south between Fanshawe Park Road and Stoney
brook Crescent.
William and Elizabeth (Jones) Geary and their five children emigrated from Ireland in 1818, becoming part of London Township�s first group of settlers. William was assigned the ",London Heritage Council,Geary Avenue,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
478765.5819,4761056.7009,152,41,Gibbons Place,Cultural Heritage,712120,Historic and Heritage Sites,"North. A cul-de-sac off Talbot Street, overlooking Gibbons Park.
Gibbons Place and Park honour Sir George Christie Gibbons. He was born in St. Catharines, attended Upper Canada College, and became a successful lawyer, businessman, and defining figure amon",London Heritage Council,Gibbons Place,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
479758.8498,4757647.9057,153,42,Grand Avenue,Cultural Heritage,712120,Historic and Heritage Sites,"South. Runs east/west from Ridout Street, crossing Wellington Road.
The 1893 Bird�s Eye View of London shows just how grand Grand Avenue was. Here London�s lords of industry created their versions of British country estates, with turreted and multi-gabled",London Heritage Council,Grand Avenue,http://www.londonheritage.ca,George Jervis Goodhue,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
484409.3545,4758309.7391,154,43,Hale Street,Cultural Heritage,712120,Historic and Heritage Sites,"East. Runs north/south between Hamilton Road and Dundas Street.
William Hale (1804-64) moved from York (Toronto) to London to manufacture bricks for the new district court-house in the late 1820s. During the Rebellion of 1837, he was among the Reformers w",London Heritage Council,Hale Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
472680.7098,4756474.1387,155,44,Hall's Mill Road,Cultural Heritage,712120,Historic and Heritage Sites,"Byron. Runs north/south from Commissioners Road West toward the Thames River.
Hall�s Mills was an early name for Byron, a post office hamlet in the former Westminster Township. In the 1830s, Burleigh Hunt built a dam, gristmill, and a carding and fulling ",London Heritage Council,Hall's Mill Road,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
487766.125,4757322.3673,156,45,Hamilton Road,Cultural Heritage,712120,Historic and Heritage Sites,"Southeast. Runs from Bathurst Street and Burwell Street east toward Dorchester. 
Hamilton Road was first surveyed in the 1830s, and White�s Bridge, which linked London and Westminster Townships, was built over the south branch of the Thames River in 1833.",London Heritage Council,Hamilton Road,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
473898.8587,4757006.9696,157,46,Hazelden Lane,Cultural Heritage,712120,Historic and Heritage Sites,"West. Runs east/west between Hyde Park Road and Hartson Road. 
Many city streets recognize people or families, but Hazelden Lane honours a house. �Hazelden� (now 1132 St. Anthony Road) was the gracious summer-house of the Little family, surrounded by haze",London Heritage Council,Hazelden Lane,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
479652.9759,4760460.9795,158,47,Hellmuth Avenue,Cultural Heritage,712120,Historic and Heritage Sites,"North. Runs north/south from Oxford Street to Grosvenor Street. 
Hellmuth Avenue is named for Isaac Hellmuth (1817-1901), the second bishop of the Anglican Diocese of Huron, first principal of Huron University College and founder of what was then called T",London Heritage Council,Hellmuth Avenue,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
480156.5672,4759819.8581,159,48,Hope Street,Cultural Heritage,712120,Historic and Heritage Sites,"Central. A cul-de-sac running west from Colborne Street.
Brothers Adam and Charles J. Hope were London merchants and members of the United Presbyterian Church. Their street was once a lane leading to the church cemetery, located at the southwest corner of",London Heritage Council,Hope Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
477984.9572,4758098.5718,160,49,Horton Street,Cultural Heritage,712120,Historic and Heritage Sites,"Central. Runs east/west from Adelaide Street, originally only to Thames Street, later extended to Springbank Drive.
Sir Robert John Wilmot Horton (1784-1841) was British Under Secretary of State for War and the Colonies from 1821-28. Colonel Thomas Talbot",London Heritage Council,Horton Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
485189.6488,4752278.081,161,50,Hubrey Road,Cultural Heritage,712120,Historic and Heritage Sites,"South. Runs north/south from Enterprise Drive to Green Valley Road.
Hubrey Road is named after a hamlet that developed near what is now the intersection of Highbury Avenue South and Westminster Drive. The village consisted of the First Free Church, Jock C",London Heritage Council,Hubrey Road,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
481763.8455,4758776.0642,162,51,Hyatt Avenue,Cultural Heritage,712120,Historic and Heritage Sites,"East. Runs north/south from Little Grey Street to Little Hill Street.
The Hyatt Brothers, a general contracting and building business, was founded in London in 1896 by George R. and John F. Hyatt. In 1897, two other brothers, Albert E. and Henry T., joine",London Heritage Council,Hyatt Avenue,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
479341.3384,4759812.3314,163,52,Hyman Street,Cultural Heritage,712120,Historic and Heritage Sites,"Central. Runs east/west from St. George Street to Waterloo Street.
Between the late 1830s and the 1870s, London grew from an administrative town into the economic centre of Upper Canada, thanks to the efforts of a small group of local entrepreneurs. These",London Heritage Council,Hyman Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
480111.9444,4754276.5583,164,53,Jalna Boulevard,Cultural Heritage,712120,Historic and Heritage Sites,"South. Circles the White Oaks Subdivision. 
In 1971, the CBC broadcasted a dramatization of Mazo de la Roche�s saga of the Whiteoak family and their home, Jalna. At that time, the developers of the White Oaks Subdivision � one of London�s largest, with ho",London Heritage Council,Jalna Boulevard,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
475675.551,4755992.0228,165,54,Jarvis Street,Cultural Heritage,712120,Historic and Heritage Sites,"Southwest. Runs north/south off Springbank Drive.
Several Jarvis families arrived in Westminster Township in the early years of the nineteenth century. By the 1820s, they were settled on lots, located largely in Concession 1 and the Broken Front Concessio",London Heritage Council,Jarvis Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
483921.0758,4761852.2053,166,55,Jim Ashton Street,Cultural Heritage,712120,Historic and Heritage Sites,"East. Runs north/south between Oxford Street and Mardell Street. 
A London labour organizer with a lifelong love of the drums was honoured with a street named for him near the Canadian Auto Workers (CAW) hall where he did some of his most important work. ",London Heritage Council,Jim Ashton Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
471056.0206,4757254.9069,167,56,Kains Road,Cultural Heritage,712120,Historic and Heritage Sites,"West. RiverBend. Once ran from Commissioners Road to the Kains farm; now runs from the Oxford Street extension into RiverBend.
Archibald Kains was born in Quebec in 1825. After farming near Exeter, running a distillery with his brother in St. Thomas, and ",London Heritage Council,Kains Road,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
482584.1463,4759775.5935,168,57,Kellog's Lane,Cultural Heritage,712120,Historic and Heritage Sites,"East. Runs north/south between Dundas Street and Florence Street. 
Baby and breakfast cereal � the �health foods� of their time � were first developed by doctors to provide better nutrition for patients. John Kellogg, an American scientist, was determined",London Heritage Council,Kellog's Lane,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
481399.0954,4764092.938,169,58,Kilally Road,Cultural Heritage,712120,Historic and Heritage Sites,"Northeast. Runs east/west from below Fanshawe Dam to Edgevalley Road.
Hamilton Hartley Killaly was born in Dublin in 1800, where he became an engineer after graduating from Trinity College. He and his wife Martha immigrated to Canada in 1835, settling on ",London Heritage Council,Kilally Road,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
471620.8589,4743927.8153,170,59,Littlewood Drive,Cultural Heritage,712120,Historic and Heritage Sites,"Southwest. Runs east/west from the city limits to Wonderland Road South.
In the 1800s, the hamlet of Littlewood could be found at the former Westminster and Delaware town lines, now the intersection of Littlewood Drive and Westdel Bourne. Some original bu",London Heritage Council,Littlewood Drive,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
478409.2953,4761031.1938,171,60,Lombardo Avenue,Cultural Heritage,712120,Historic and Heritage Sites,"North. Runs north/south between Regent and Victoria Streets.
Although he had been a professional musician in his hometown of London, Ontario since 1918, band-leader Guy Lombardo�s show business career officially took off in 1924 � the year his band, The R",London Heritage Council,Lombardo Avenue,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
